year,oil
1971,0.357
1972,1.927
1973,1.870
1974,2.014
1975,10.995
1976,16.227
1977,16.643
1978,20.644
1979,22.478
1980,28.221
1981,27.485
1982,28.528
1983,35.645
1984,41.093
1985,44.758
1986,48.771
1987,56.959
1988,64.723
1989,85.983
1990,94.542
1991,108.510
1992,123.999
1993,131.843
1994,146.282
1995,156.776
1996,175.501
1997,175.914
1998,168.744
1999,168.690
2000,181.181
2001,180.884
2002,173.649
2003,165.475
2004,162.778
2005,148.137
2006,136.577
2007,128.276
2008,122.662
2009,115.454
2010,104.346
2011,97.496
2012,75.016